"Product Name"," Product Code"," IMEI or Serial Numbers"," Counted"
"Canon EOS R10 RF-S 18-45 IS STM",13929367,
"Banana (pack of 12)",27583341,
"Apple Watch Series 8 GPS 45mm Midnight Aluminum Case",31429623,
"Apple Watch SE GPS + Cellular 40mm Space Gray",92178104,
"Apple TV HD 32GB (2nd Generation)",71493353,
"Apple Smart Watch",12010761,
"Apple iPhone XS Max-64GB -white",22061536,
"Apple iPhone 11 (4GB-64GB) Black",49251814,
"Acer Chromebook 315"," 15.6 HD – Intel Celeron N4000",30798200,
"2021 Apple 12.9-inch iPad Pro Wi-Fi 512GB",2035892312345,
"Microsoft – Surface Laptop 4 13.5” Touch-Screen – AMD Ryzen 5",24005329,
"iRobot Roomba E6 (6199) Robot Vacuum",56858702,
"iPhone 14 Pro 256GB Gold",29733132,
"Huawei Watch GT 2 Sport Stainless Steel 46mm",02456392,
"HP Victus 16-e00244AX GTX 1650 Gaming Laptop 16.1” FHD 144Hz",81526930,
"GORENJE Waschmaschine WHP74EPS Waschmaschine",43879312,
"Gala Original Apple - 1KG",80912386,
"Fresh Organic Navel Orange",33887520,
"Epson Inkjet WorkForce Pro WF-3820DWF",20142029,
"Electrolux EW6F449ST PerfectCare 9 Kg Washing Machine",23279148,
"Zenbook 14 OLED (UX3402)｜Laptops For Home – ASUS",59028109,
"Xbox One Wireless Controller Black Color",93060790,
"WOLFANG GA420 Action Camera 4K 60FPS 24MP",99218280,
"Water Melon ~ 3KG",19186147,
"Sony Bravia 55X90J 4K Ultra HD 55″ 140 Screen Google Smart LED TV",16530612,
"Sony A7 III Mirrorless Camera Body Only",99421096,
"Samsung Galaxy Chromebook Go"," 14″ HD LED"," Intel Celeron N4500",28090345,
"SAMSUNG Galaxy Book Pro 15.6 Laptop – Intel Core i5",67015642,
"Samsung Galaxy Active 2 R835U Smartwatch 40mm",10203743,
"Samsung 43AU7000 4K Ultra HD 43″ 109 Screen Smart LED TV",73189124,
"green spice",61226895,
"Samsung Adapter",99767039,
"Test Varient",09759418,
"Test Varient",09759418,
"Test Varient",09759418,
"Test Varient",09759418,
Embed,347130,
"Suite Case (Large)",51234109,
"Suite Case (Large)",51234109,
"Suite Case (Large)",51234109,
"Suit Case (Medium)",97067049,
"Suit Case (Medium)",97067049,
"Suit Case (Medium)",97067049,
"Suit Case (Small)",22307439,
"Suit Case (Small)",22307439,
"Suit Case (Small)",22307439,
"red combo",57106851,
Banana,77895040,
Apple,79571061,
Custard,07363712,
AABB,23017998,351506558006335/351506558006334
Mango,24779560,
2BC,44090618,null/null/null/null/null/null
Asdd,01852919,
Coke,95240739,
"Alpha Cheese",33357221,
"Alpha Cheese",33357221,
Melon,2000092,
